id,symbol,date,open_price,close_price,high_price,low_price,volume,prediction
726,MSFT,2024-12-23,0.0,0.0,0.0,0.0,0,140.95535278320312
727,MSFT,2024-12-24,0.0,0.0,0.0,0.0,0,140.95535278320312
728,MSFT,2024-12-25,0.0,0.0,0.0,0.0,0,140.95535278320312
729,MSFT,2024-12-26,0.0,0.0,0.0,0.0,0,140.95535278320312
730,MSFT,2024-12-27,0.0,0.0,0.0,0.0,0,140.95535278320312
731,MSFT,2024-12-28,0.0,0.0,0.0,0.0,0,139.1584014892578
732,MSFT,2024-12-29,0.0,0.0,0.0,0.0,0,139.1584014892578
733,MSFT,2024-12-30,0.0,0.0,0.0,0.0,0,142.45191955566406
734,MSFT,2024-12-31,0.0,0.0,0.0,0.0,0,143.9036865234375
735,MSFT,2025-01-01,0.0,0.0,0.0,0.0,0,145.2659149169922
736,MSFT,2025-01-02,0.0,0.0,0.0,0.0,0,148.53384399414062
737,MSFT,2025-01-03,0.0,0.0,0.0,0.0,0,154.85794067382812
738,MSFT,2025-01-04,0.0,0.0,0.0,0.0,0,154.7684783935547
739,MSFT,2025-01-05,0.0,0.0,0.0,0.0,0,155.7646942138672
740,MSFT,2025-01-06,0.0,0.0,0.0,0.0,0,158.07435607910156
741,MSFT,2025-01-07,0.0,0.0,0.0,0.0,0,158.85488891601562
742,MSFT,2025-01-08,0.0,0.0,0.0,0.0,0,161.66261291503906
743,MSFT,2025-01-09,0.0,0.0,0.0,0.0,0,163.30787658691406
744,MSFT,2025-01-10,0.0,0.0,0.0,0.0,0,164.22601318359375
745,MSFT,2025-01-11,0.0,0.0,0.0,0.0,0,163.91282653808594
746,MSFT,2025-01-12,0.0,0.0,0.0,0.0,0,166.00799560546875
747,MSFT,2025-01-13,0.0,0.0,0.0,0.0,0,167.061767578125
748,MSFT,2025-01-14,0.0,0.0,0.0,0.0,0,166.62213134765625
749,MSFT,2025-01-15,0.0,0.0,0.0,0.0,0,166.49554443359375
750,MSFT,2025-01-16,0.0,0.0,0.0,0.0,0,177.07501220703125
